ts,|v|_mean,|a|_mean,vz_mean,az_mean,|v|_std,|a|_std,vz_std,az_std,|v|_min,|a|_min,vz_min,az_min,|v|_max,|a|_max,vz_max,az_max,label_pass
1.0752646669471032e+16,992280.520661157,11016272.553719008,278.8347107438017,851.4297520661157,823538.8758031514,9005280.786799353,4329.433150631285,3070.375831572975,84327,868973,-9773,-5377,2775411,28637419,8429,9708,yes
1.0753294384194902e+16,2540719.6587301586,24311975.5,-703.2380952380952,-121.04761904761904,1360694.7056531154,9906766.224144973,2913.10911962754,1744.3902355018747,78345,10018102,-9951,-2977,5064301,47606962,4744,5661,yes
1.0754377003512738e+16,4321978.943303023,27075952.894324504,-578.663155079253,36.709163764126,2877883.91317374,11691644.723122478,1873.708815526464,1778.4293140294435,634590,4952717,-4758,-2717,8931638,48661217,1990,5738,yes
1.0754462044403102e+16,1999130.3548387096,10041333.427419355,-3084.0080645161293,895.1451612903226,1938563.89142822,8357932.643635469,3490.226927875108,2299.527072953195,103113,1536869,-9970,-4837,5319940,27493835,1318,8164,no
1.0754462331618682e+16,1790471.632,7764115.664,-2380.176,446.056,1114030.661347782,4363356.333310119,3592.089319386645,2919.872051173785,138579,322779,-9584,-6485,3338682,16987883,1583,8336,no
1.0754462776220514e+16,3246620.7398373983,14578617.93495935,617.2520325203252,-37.21951219512195,1299966.0173111074,3706496.048108821,1658.4135446683008,1223.775189205319,1211845,7666132,-6234,-3120,6059384,22115965,3985,3961,no
1.0754463048589258e+16,2266300.62601626,9530892.829268292,-1630.1626016260163,-1552.1463414634147,1536985.395050086,5975521.159656696,2564.5319049247137,4460.83847827158,174830,1865206,-7945,-9734,4116641,23166049,2537,9355,no
1.0754463148423348e+16,2212756.266129032,10057091.741935484,1598.0,1482.395161290323,1776696.783338389,6038355.68042828,2276.393653356258,2712.6591634200868,119251,909720,-3107,-2795,4870447,21052712,8639,9986,no
1.0754463354682398e+16,1344856.5476190476,10288102.746031746,-832.7380952380952,-1188.928571428571,726464.2740712372,4009148.013455141,5566.402910574939,3627.734180291762,134708,2810075,-9871,-8487,2343428,17669146,9636,9242,yes
1.075446385158913e+16,2164076.449612404,7076714.945736434,-984.7054263565892,1476.077519379845,1166767.4249746266,4952624.5337030105,1443.1564115415383,2924.815903961957,289086,379892,-5324,-8475,3488541,17119218,1379,9722,no
1.0754463913747604e+16,2317965.472,12295208.608,-36.464,490.464,1375841.1414098216,4511728.817776133,2169.7457876368244,1946.3460660360977,171692,1572793,-5701,-3131,4967884,21310291,3068,8583,no
1.0754463957812108e+16,2190780.423076923,11095760.138461538,-576.9153846153846,159.3,1326199.0818535765,6724194.078163547,4628.775455516387,3600.494622889661,538854,2028631,-9942,-5873,4389762,27073051,8543,8536,no
1.075446396480039e+16,1506832.5877862596,9337859.0,1607.3893129770993,1541.5648854961833,981325.33924458,3637650.393983804,4171.140522082879,3416.823272932007,52281,2535365,-6247,-3775,2998318,16191851,9974,9301,no
1.0754464850495086e+16,3267992.1,15898766.76153846,-188.8,-314.0230769230769,1733921.7747256998,7010934.310625767,2490.8935086265387,2246.5916871487025,152198,2986595,-8096,-7279,5315603,31639235,6641,5104,no
1.0754475516306454e+16,3263073.804123712,11489266.536082476,-52.824742268041234,286.8659793814433,1892348.671512444,5337439.731609178,3358.018699106381,3988.405732110853,624621,1926598,-6973,-8757,5671440,23322338,5162,6504,no
1.0754605546925588e+16,2853582.194029851,13659992.940298509,1358.5373134328358,953.4776119402984,1281621.647938979,3840572.4465323226,679.9935233282965,632.3280065160121,569193,3490036,365,-379,4586848,17564586,3385,2918,no
1.0754647210721542e+16,3388626.5924764774,24164572.553165,-3371.517207511688,181.6013834849403,2601149.288556707,10025132.531706054,2305.78607697742,1316.6732693126144,257955,4945105,-8798,-3094,7415230,40467178,-655,4632,yes
1.0754750290701754e+16,1276691.7319321716,9279295.745704057,1526.1229283654754,-357.0661704246336,626686.7518620675,4339280.193506914,4312.910748489713,3051.58433226255,221847,2793388,-6632,-6434,2216368,18451014,9701,8050,yes
1.075513059344919e+16,2031513.768013394,16285659.417251404,1302.5762593669972,769.6855457484481,885369.7992106254,7021331.796491383,3080.3422754779726,2443.247694141368,275463,2661876,-6155,-8313,3950242,31319812,5541,5570,yes
1.075659338113084e+16,2303945.128310197,14569542.26179136,-998.1421330691226,-225.4284085307633,1713935.6994282643,7883954.753806839,3357.344939837953,2549.2460767684743,453899,2138469,-7769,-8927,6216698,35697936,4327,4710,yes
1.0756646527115462e+16,1407220.0932891543,10942018.552851005,-515.4502529925737,-896.8506838787534,785817.9389709735,4053521.765910697,4926.877519662012,3373.363053407001,126355,2633456,-8460,-7510,2552713,18221057,9310,8839,yes
1.0757926355495616e+16,3618212.874015748,25774451.354330707,1488.0944881889764,535.7716535433071,2138398.4958968787,9534212.50946947,3658.754251591764,2067.2807389886057,636130,4110763,-6451,-2748,7518648,40395354,7429,5170,yes
1.0758160064341536e+16,4298667.662892741,26403792.38249063,-1150.3352963003133,199.8220224564425,2831986.39034932,12607092.989626652,2493.0358875006145,2076.773382385939,1013366,2894668,-6238,-2783,9169302,46593956,1610,7965,yes
1.07584139152786e+16,3268525.105137492,23913095.884709906,-3602.275855679909,167.87248501479593,2557818.1255957945,10000407.007361488,2330.6455067815687,1324.4471305245147,264374,4878648,-9028,-3066,7226972,40342382,-822,4494,yes
1.075852220208872e+16,5612568.067475123,47837379.94203495,-1154.732760904641,-498.9302370907122,3291261.0163424136,26413019.91094332,3088.460835595335,1824.160118468542,656225,5699030,-8801,-5199,12365914,113056281,3487,2581,yes
1.0758577480851142e+16,3594648.5156266675,28846281.13402905,-383.1059130199172,-783.6563982822797,2047230.1327233235,13619901.158429671,2997.9566654591868,2367.4045985693965,840969,9081972,-6206,-6803,6657922,48250336,5880,1461,yes
1.0760087723386656e+16,4420380.083636335,27523698.16291451,-145.45700003341872,259.73824359900635,2064440.380221064,9109303.290225605,2006.2874770110247,1664.8378219534502,945343,8539498,-3673,-3325,7748410,43803925,3324,3159,yes
